strain	name	date	region	country	host	passage_type	sra_accession	abbr_authors	authors	institution
KY369914.1	HCoV_229E/Seattle/USA/SC9773/2016	2016-XX-XX	North America	USA	Homo sapiens		SRR19134710	Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369913.1	HCoV_229E/Seattle/USA/SC1073/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369912.1	HCoV_229E/Seattle/USA/SC9731/2016	2016-XX-XX	North America	USA	Homo sapiens		SRR19134716	Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369911.1	HCoV_229E/Seattle/USA/SC1212/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369910.1	HCoV_229E/Seattle/USA/SC1143/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369909.2	HCoV_229E/Seattle/USA/SC677/2016	2016-XX-XX	North America	USA	Homo sapiens		SRR5809357,SRR5809358,SRR5809359	Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369908.1	HCoV_229E/Seattle/USA/SC579/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY073748.1		2010-06-XX	Africa	Kenya	Macronycteris vittatus			Tao et al	Tao,Y.,Shi,M.,Chommanard,C.,Queen,K.,Zhang,J.,Markotter,W.,Kuzmin,I.V.,Holmes,E.C.,Tong,S.,Kuzmin,I.	Centers for Disease Control and Prevention, Division of Viral Diseases
KY073747.1		2009-06-20	Africa	Kenya	Hipposideros			Tao et al	Tao,Y.,Shi,M.,Chommanard,C.,Queen,K.,Zhang,J.,Markotter,W.,Kuzmin,I.V.,Holmes,E.C.,Tong,S.,Kuzmin,I.	Centers for Disease Control and Prevention, Division of Viral Diseases
KX286258.1	PREDICT_ZB12057	2012-07-30	Africa	Republic of the Congo	Hipposideros caffer			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX285804.1	PREDICT_OTBA42-20130602	2013-05-30	Africa	Uganda	Hipposideros			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX285803.1	PREDICT_OTBA41-20130602	2013-05-30	Africa	Uganda	Rhinolophus			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX284955.1	PREDICT-GVF-CM-ECO06296	2012-09-09	Africa	Cameroon	Hipposideros caffer			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX284928.1	PREDICT-ZB12046	2012-07-30	Africa	Republic of the Congo	Hipposideros			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
