Source database	Release date	Update date	Length	Isolate Lineage source	BioSample accession	Submitter Country	strain	name	region	country	date	host	authors	institution	sra_accession	passage_type	abbr_authors	division	location
GenBank	2017-01-15T00:00:00Z	2022-05-10T00:00:00Z	27231		SAMN28125225	USA	KY369914.1	HCoV_229E/Seattle/USA/SC9773/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine	SRR19134710		Greninger et al		
GenBank	2017-01-15T00:00:00Z	2020-02-21T00:00:00Z	27238			USA	KY369913.1	HCoV_229E/Seattle/USA/SC1073/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine			Greninger et al		
GenBank	2017-01-15T00:00:00Z	2022-05-10T00:00:00Z	27208		SAMN28125220	USA	KY369912.1	HCoV_229E/Seattle/USA/SC9731/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine	SRR19134716		Greninger et al		
GenBank	2017-01-15T00:00:00Z	2020-02-21T00:00:00Z	27226			USA	KY369911.1	HCoV_229E/Seattle/USA/SC1212/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine			Greninger et al		
GenBank	2017-01-15T00:00:00Z	2020-02-21T00:00:00Z	27182			USA	KY369910.1	HCoV_229E/Seattle/USA/SC1143/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine			Greninger et al		
GenBank	2017-01-15T00:00:00Z	2022-05-10T00:00:00Z	26592		SAMN07327629	USA	KY369909.2	HCoV_229E/Seattle/USA/SC677/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine	SRR5809357,SRR5809358,SRR5809359		Greninger et al		
GenBank	2017-01-15T00:00:00Z	2020-02-21T00:00:00Z	27193			USA	KY369908.1	HCoV_229E/Seattle/USA/SC579/2016	North America	USA	2016-XX-XX	Homo sapiens	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine			Greninger et al		
GenBank	2016-12-06T00:00:00Z	2017-02-22T00:00:00Z	27636	feces		USA	KY073748.1		Africa	Kenya	2010-06-XX	Macronycteris vittatus	Tao,Y.,Shi,M.,Chommanard,C.,Queen,K.,Zhang,J.,Markotter,W.,Kuzmin,I.V.,Holmes,E.C.,Tong,S.,Kuzmin,I.	Centers for Disease Control and Prevention, Division of Viral Diseases			Tao et al		
GenBank	2016-12-06T00:00:00Z	2017-02-22T00:00:00Z	27837	feces		USA	KY073747.1		Africa	Kenya	2009-06-20	Hipposideros	Tao,Y.,Shi,M.,Chommanard,C.,Queen,K.,Zhang,J.,Markotter,W.,Kuzmin,I.V.,Holmes,E.C.,Tong,S.,Kuzmin,I.	Centers for Disease Control and Prevention, Division of Viral Diseases			Tao et al		
GenBank	2017-11-14T00:00:00Z	2019-02-26T00:00:00Z	286	feces		USA	KX286258.1	PREDICT_ZB12057	Africa	Republic of the Congo	2012-07-30	Hipposideros caffer	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis			Anthony et al		
